Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Engine Speed (rpm)
0,6.20,0.28,0.00,1.00,0.00,1.0000,15.50,136,0,0,0,7,3.84,0.00,-3.71,3.14,842
156,6.29,0.30,0.00,0.99,0.00,1.0000,18.50,136,0,0,0,7,3.97,0.00,-3.62,3.14,789
500,6.15,0.29,0.00,0.99,0.00,1.0000,16.00,136,0,0,0,7,3.67,0.00,-3.62,3.14,758
718,5.96,0.29,0.00,0.99,0.00,1.0000,18.00,136,0,0,0,7,3.50,0.00,-3.62,3.14,724
1000,5.79,0.32,0.00,0.99,0.00,1.0000,18.00,136,0,0,0,7,3.79,0.00,-3.62,3.14,707
1281,5.71,0.30,0.00,0.99,0.00,1.0000,18.00,136,0,0,0,7,3.69,0.00,-3.62,3.14,725
1593,5.72,0.31,0.00,0.99,0.00,1.0000,16.00,136,0,0,0,7,3.87,0.00,-3.62,3.14,745
1797,5.77,0.28,0.00,0.99,0.00,1.0000,15.00,136,0,0,0,7,3.62,0.00,-3.62,3.14,761
2047,5.81,0.26,0.00,0.99,0.00,1.0000,14.50,136,0,0,0,7,3.26,0.00,-3.62,3.14,766
2375,9.58,0.48,0.00,0.99,0.00,1.0000,19.50,136,0,0,0,7,21.38,3.92,-3.62,45.49,758
2656,-2.12,0.25,0.00,1.06,0.00,1.0000,34.00,136,0,0,0,7,8.95,37.65,-4.81,25.10,1429
2906,0.01,0.18,0.00,1.19,-0.75,1.0000,45.00,136,0,0,0,7,14.09,60.78,-5.01,30.59,2535
3187,4.38,0.43,0.00,1.55,-0.75,1.0000,43.50,136,0,0,0,7,38.08,61.57,-4.62,52.16,2980
3453,11.32,1.09,-1.41,0.90,0.00,1.0000,33.50,136,0,0,0,8,65.27,47.06,10.73,100.00,3275
3734,7.97,1.40,-1.41,0.93,0.00,1.0000,31.00,136,0,0,0,8,89.02,35.69,10.15,100.00,3776
3953,4.27,1.54,-1.41,0.88,0.00,1.0000,25.00,136,0,0,0,8,91.21,33.33,5.90,81.18,3684
4266,2.25,1.72,-1.41,0.86,0.00,1.0000,23.00,136,0,0,0,8,101.86,36.86,7.91,100.00,3522
4485,6.53,1.81,-1.05,0.85,0.00,1.0000,21.00,138,0,0,0,8,103.87,45.88,14.14,100.00,3407
4812,6.17,1.89,-1.05,0.85,0.00,1.0000,17.50,138,0,0,0,8,91.87,51.76,15.62,100.00,3023
5015,8.35,2.01,0.00,0.84,0.00,1.0000,20.50,140,0,0,0,8,128.35,54.90,17.89,100.00,3750
5343,5.94,2.24,0.00,0.81,0.00,1.0000,19.50,140,0,0,0,8,163.06,54.51,17.71,100.00,4312
5563,3.23,2.29,0.00,0.80,0.00,1.0000,22.00,140,0,0,0,8,194.15,50.98,16.40,100.00,5001
5891,0.54,2.25,0.00,0.81,0.00,1.0000,24.50,140,0,0,0,8,218.13,46.27,12.59,100.00,5702
6078,-1.40,2.10,0.00,0.80,0.00,1.0000,28.50,140,0,0,0,8,223.29,36.47,9.92,100.00,6282
6406,0.07,1.80,0.00,0.81,0.00,1.0000,0.00,138,0,0,0,8,181.14,27.84,0.54,100.00,6184
6672,2.59,0.13,0.00,1.11,0.00,1.0000,0.00,136,0,0,0,8,13.35,0.00,-4.52,10.59,6472
6953,5.14,0.15,0.00,0.80,0.00,1.0000,0.00,135,0,0,0,8,12.81,0.00,-5.12,16.86,5868
7171,12.11,1.50,0.00,0.88,0.00,1.0000,30.00,133,0,0,0,8,96.99,0.00,14.21,36.86,4068
7499,-3.31,1.34,0.00,0.81,0.00,1.0000,34.00,133,0,0,0,8,97.68,15.29,-1.43,34.90,4390
7703,-2.69,1.53,0.00,0.87,0.00,1.0000,31.50,133,0,0,0,8,117.75,9.41,-0.46,40.00,4570
8031,-2.41,1.77,0.00,0.85,0.00,1.0000,28.50,131,0,0,0,8,145.03,12.94,3.44,73.33,4745
