Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,-4.10,0.00,0,0.00,0.86,0.00,1.0000,21.50,133,4,5,0,6,1.86,0.00,-4.56,6.67
181,-3.79,0.85,173,0.00,0.74,0.00,1.0000,22.50,133,4,5,0,6,2.44,0.00,-4.56,5.10
362,-3.61,0.70,198,0.00,0.74,0.00,1.0000,22.50,133,4,5,0,6,2.27,0.00,-4.56,5.10
604,-8.73,0.42,358,0.00,0.74,0.00,1.0000,22.50,133,4,5,0,6,3.13,0.00,-4.58,5.49
761,0.74,0.31,962,0.00,0.74,0.00,1.0000,12.50,135,4,5,0,6,5.27,0.00,-4.58,5.49
1015,2.56,0.26,1304,0.00,0.75,0.00,1.0000,13.00,135,4,5,0,6,5.59,0.00,-5.49,5.49
1172,-5.55,1.01,1558,0.00,0.79,0.00,1.0000,23.50,135,4,5,0,6,29.04,0.00,-3.93,100.00
1438,2.41,1.04,2669,0.00,0.82,-0.75,1.0000,33.50,135,4,5,0,6,46.29,46.67,12.26,90.59
1595,5.43,0.10,2985,0.00,0.87,-0.75,1.0000,37.50,135,4,5,0,6,5.08,0.00,-4.47,5.88
1848,1.28,0.24,2961,0.00,0.66,-0.75,1.0000,41.00,135,4,5,0,6,16.72,0.00,4.12,10.59
2006,4.21,0.45,1970,0.00,0.87,0.00,1.0000,40.00,135,4,5,0,6,12.69,0.00,-4.85,10.98
2271,-4.17,0.68,1460,0.00,0.87,0.00,1.0000,14.50,135,4,5,0,7,19.53,0.00,-0.48,16.86
2429,4.07,0.19,1961,0.00,0.95,0.00,1.0000,33.50,135,4,5,0,7,6.08,0.00,-4.80,5.49
2670,-1.95,0.79,2310,0.00,0.92,0.00,1.0000,39.00,135,4,5,0,7,29.75,0.00,-4.81,19.61
2828,1.81,0.40,2788,0.00,0.96,-0.75,1.0000,40.50,133,4,5,0,7,18.66,0.00,-4.81,12.55
3093,0.73,0.88,1699,0.00,0.68,0.00,1.0000,39.50,135,4,5,0,7,24.49,0.00,-4.87,14.90
