Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,-2.34,1.25,2561,0.00,0.96,0.00,1.0000,23.50,46,11,3,5,14,53.60,0.00,-3.81,24.71
0,-2.34,1.24,2552,0.00,0.96,0.00,1.0000,23.00,46,11,3,5,14,50.62,0.00,-4.02,25.10
207,-2.55,1.22,2636,0.00,0.97,0.00,1.0000,23.50,46,11,3,5,14,52.45,0.00,-4.00,23.92
419,-1.70,1.28,2670,0.00,0.97,0.00,1.0000,24.00,46,11,3,5,14,54.05,0.00,-3.71,26.27
419,-2.13,1.29,2654,0.00,0.97,0.00,1.0000,24.50,46,11,3,5,14,57.79,0.00,-3.13,25.49
419,-2.12,1.30,2719,0.00,0.97,0.00,1.0000,24.50,46,11,3,5,14,57.02,0.00,-3.19,26.27
675,-1.22,1.41,2777,0.00,0.97,0.00,1.0000,25.00,46,11,3,5,14,61.20,0.00,-3.06,29.02
746,-1.39,1.42,2776,0.00,0.92,0.00,1.0000,25.50,46,11,3,5,14,65.44,0.00,-2.03,29.41
963,-1.88,1.42,2846,0.00,0.96,0.00,1.0000,25.00,46,11,3,5,14,65.61,0.00,-1.53,29.41
1016,-1.92,1.40,2873,0.00,0.96,0.00,1.0000,26.00,46,11,3,5,14,66.60,0.00,-1.41,29.02
1031,-2.26,1.38,2919,0.00,0.96,0.00,1.0000,26.50,46,11,3,5,14,67.93,0.00,-1.43,28.63
1263,-2.41,1.37,2942,0.00,0.97,0.00,1.0000,27.00,46,11,3,5,14,68.26,0.00,-1.49,28.63
1298,-2.72,1.37,3010,0.00,0.97,0.00,1.0000,27.00,46,11,3,5,14,68.26,0.00,-1.57,28.24
1316,-2.70,1.40,3023,0.00,0.97,0.00,1.0000,27.00,46,11,3,5,14,69.00,0.00,-1.76,28.24
1526,-3.14,1.39,3130,0.00,0.98,0.00,1.0000,28.00,46,11,3,5,14,71.40,0.00,-2.05,27.45
1526,-3.18,1.37,3077,0.00,0.98,0.00,1.0000,28.00,46,11,3,5,14,70.60,0.00,-1.68,27.45
1614,-3.21,1.40,3162,0.00,0.98,0.00,1.0000,28.50,46,11,3,5,14,72.80,0.00,-2.11,27.06
1874,-3.29,1.36,3221,0.00,0.98,0.00,1.0000,29.50,46,11,3,5,14,71.60,0.00,-2.30,27.06
1927,-3.40,1.42,3252,0.00,0.98,0.00,1.0000,29.50,46,11,3,5,14,75.21,0.00,-2.20,27.45
2182,-3.72,1.37,3303,0.00,0.98,0.00,1.0000,30.00,46,11,3,5,14,76.21,0.00,-2.28,26.67
2301,-3.52,1.40,3338,0.00,0.98,0.00,1.0000,30.50,46,11,3,5,14,77.01,0.00,-2.48,26.67
2458,-3.86,1.35,3374,0.00,0.98,0.00,1.0000,31.00,46,11,3,5,14,77.82,0.00,-2.40,25.88
2605,-3.87,1.31,3424,0.00,0.98,0.00,1.0000,32.00,46,11,3,5,14,75.81,0.00,-2.88,25.88
2605,-3.44,1.42,3564,0.00,0.98,0.00,1.0000,32.00,46,11,3,5,14,81.79,0.00,-2.77,27.06
2605,-3.43,1.35,3487,0.00,0.98,0.00,1.0000,32.50,46,11,3,5,14,78.84,0.00,-2.98,26.27
2605,-3.38,1.37,3454,0.00,0.98,0.00,1.0000,32.50,46,11,3,5,14,77.21,0.00,-2.67,26.27
2883,-3.61,1.41,3576,0.00,0.98,0.00,1.0000,31.00,46,11,3,5,14,84.10,0.00,-2.71,27.06
3066,-3.66,1.41,3618,0.00,0.98,0.00,1.0000,31.00,46,11,3,5,14,86.20,0.00,-2.77,27.06
3119,-3.47,1.47,3684,0.00,0.98,0.00,1.0000,30.00,46,11,3,5,14,85.57,0.00,-2.80,28.24
3119,-3.35,1.49,3714,0.00,0.98,0.00,1.0000,30.00,46,11,3,5,14,91.87,0.00,-2.28,29.02
