Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Boost Error* (psi),Feedback Knock Correction (1-byte)** (degrees),IAM (multiplier),Ignition Total Timing (degrees),Throttle Plate Opening Angle (2-byte)** (%),Final Fueling Base (2-byte)* (lambda),Throttle Opening Angle (%)
0,0.28,775,0.00,0.00,33.33,1.48,61,0,0,0,2,3.67,0.00,-4.00,5.88,0.00,1.0000,14.00,2.92,0.99,3.14
0,0.28,771,0.00,0.00,33.33,1.47,61,0,0,0,2,3.60,0.00,-4.00,5.89,0.00,1.0000,14.00,2.92,0.99,3.14
35,0.29,768,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.91,0.00,1.0000,14.00,2.92,0.99,3.14
206,0.29,761,0.00,0.00,33.33,1.47,61,0,0,0,2,3.72,0.00,-4.00,5.93,0.00,1.0000,14.00,2.92,0.99,3.14
388,0.28,753,0.00,0.00,33.33,1.47,61,0,0,0,2,3.52,0.00,-4.00,5.93,0.00,1.0000,14.00,2.92,0.99,3.14
402,0.28,745,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.93,0.00,1.0000,15.50,2.92,0.99,3.14
402,0.30,743,0.00,0.00,33.33,1.42,61,0,0,0,2,3.84,0.00,-4.00,5.90,0.00,1.0000,16.00,2.92,0.99,3.14
590,0.31,741,0.00,0.00,33.33,1.41,61,0,0,0,2,3.79,0.00,-4.00,5.89,0.00,1.0000,16.50,2.92,0.99,3.14
590,0.30,738,0.00,0.00,33.33,1.41,61,0,0,0,2,3.74,0.00,-4.00,5.87,0.00,1.0000,16.50,2.92,0.99,3.14
766,0.31,742,0.00,0.00,33.33,1.41,61,0,0,0,2,3.60,0.00,-4.00,5.84,0.00,1.0000,16.00,2.92,0.99,3.14
785,0.29,745,0.00,0.00,33.33,1.43,61,0,0,0,2,3.55,0.00,-4.00,5.84,0.00,1.0000,15.50,2.92,0.99,3.14
949,0.30,742,0.00,0.00,33.33,1.44,61,0,0,0,2,3.74,0.00,-4.00,5.82,0.00,1.0000,15.00,2.92,0.99,3.14
984,0.29,739,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.84,0.00,1.0000,16.50,2.92,0.99,3.14
1146,0.30,743,0.00,0.00,33.33,1.43,61,0,0,0,2,3.74,0.00,-4.00,5.83,0.00,1.0000,16.00,2.92,0.99,3.14
1184,0.30,754,0.00,0.00,33.33,1.43,61,0,0,0,2,3.69,0.00,-4.00,5.84,0.00,1.0000,15.50,2.92,0.99,3.14
1329,0.29,754,0.00,0.00,33.33,1.43,61,0,0,0,2,3.66,0.00,-4.00,5.84,0.00,1.0000,15.00,2.92,0.99,3.14
1345,0.29,752,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.84,0.00,1.0000,15.00,2.92,0.99,3.14
1518,0.29,756,0.00,0.00,33.33,1.46,61,0,0,0,2,3.57,0.00,-4.00,5.84,0.00,1.0000,14.50,2.92,0.99,3.14
1544,0.29,754,0.00,0.00,33.33,1.47,61,0,0,0,2,3.67,0.00,-4.00,5.85,0.00,1.0000,15.00,2.92,0.99,3.14
1717,0.29,756,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.87,0.00,1.0000,14.50,2.92,0.99,3.14
1717,0.30,758,0.00,0.00,33.33,1.44,61,0,0,0,2,3.74,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
1870,0.29,758,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.89,0.00,1.0000,14.50,2.92,0.99,3.14
1905,0.30,765,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.89,0.00,1.0000,14.00,2.92,0.99,3.14
2081,0.29,746,0.00,0.00,33.33,1.46,61,0,0,0,2,3.62,0.00,-4.00,5.89,0.00,1.0000,14.50,2.92,0.99,3.14
2095,0.29,748,0.00,0.00,33.33,1.45,61,0,0,0,2,3.57,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
2250,0.29,751,0.00,0.00,33.33,1.45,61,0,0,0,2,3.57,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
2285,0.29,749,0.00,0.00,33.33,1.43,61,0,0,0,2,3.65,0.00,-4.00,5.89,0.00,1.0000,15.50,2.92,0.99,3.14
2450,0.30,750,0.00,0.00,33.33,1.43,61,0,0,0,2,3.82,0.00,-4.00,5.87,0.00,1.0000,15.50,2.92,0.99,3.14
2469,0.30,749,0.00,0.00,33.33,1.42,61,0,0,0,2,3.79,0.00,-4.00,5.88,0.00,1.0000,15.50,2.92,0.99,3.14
