Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,737,0.27,16.50,46,5,7,4,39,0.00,0.00,1.0000,3.26,0.99,0.00,-4.31,2.35,5.75
77,734,0.27,17.00,46,5,7,4,39,0.00,0.00,1.0000,3.26,0.99,0.00,-4.31,2.35,5.74
155,715,0.28,18.00,46,5,7,4,39,0.00,0.00,1.0000,3.38,0.99,0.00,-4.31,2.35,5.73
234,698,0.30,19.00,46,5,7,4,39,0.00,0.00,1.0000,3.43,0.99,0.00,-4.31,2.35,5.70
311,679,0.31,19.50,46,5,7,4,39,0.00,0.00,1.0000,3.52,0.99,0.00,-4.31,2.35,5.64
390,660,0.32,20.00,46,5,7,4,39,0.00,0.00,1.0000,3.59,0.99,0.00,-4.31,2.35,5.50
468,643,0.33,20.50,46,5,7,4,39,0.00,0.00,1.0000,3.55,0.99,0.00,-4.31,2.35,5.45
546,641,0.34,20.50,46,5,7,4,39,0.00,0.00,1.0000,3.57,0.99,0.00,-4.31,2.75,5.40
608,625,0.35,20.50,46,5,7,4,39,0.00,0.00,1.0000,3.72,0.99,0.00,-4.31,3.14,5.30
702,618,0.38,20.50,46,5,7,4,39,0.00,0.00,1.0000,3.87,0.99,0.00,-4.31,3.14,5.12
796,616,0.41,20.50,46,5,7,4,39,0.00,0.00,1.0000,4.23,0.90,0.00,-4.31,3.14,4.89
842,621,0.43,21.50,46,5,7,4,39,0.00,0.00,1.0000,4.42,0.90,0.00,-4.31,3.53,4.77
952,640,0.42,21.50,46,5,7,4,39,0.00,0.00,1.0000,4.45,0.90,0.00,-4.31,3.53,4.67
1030,656,0.41,21.00,46,5,7,4,40,0.00,0.00,1.0000,4.51,0.99,0.00,-4.31,3.53,4.45
1108,681,0.39,20.00,46,5,7,4,40,0.00,0.00,1.0000,4.48,0.99,0.00,-4.31,3.53,4.38
1186,718,0.37,17.50,46,5,7,4,40,0.00,0.00,1.0000,4.48,0.99,0.00,-4.31,3.53,4.38
1264,760,0.38,14.50,46,5,7,4,41,0.00,0.00,1.0000,4.48,0.99,0.00,-4.31,3.53,4.40
1343,805,0.33,12.00,46,5,7,4,41,0.00,0.00,1.0000,4.48,0.99,0.00,-4.31,3.53,4.53
1421,839,0.31,7.50,46,5,7,4,41,0.00,0.00,1.0000,4.42,0.99,0.00,-4.35,3.14,4.59
1499,876,0.30,7.50,46,5,7,4,41,0.00,0.00,1.0000,4.37,0.99,0.00,-4.43,3.14,4.70
1577,882,0.30,7.50,46,5,7,4,41,0.00,0.00,1.0000,4.40,0.99,0.00,-4.49,3.14,4.81
1671,890,0.29,7.50,46,5,7,4,41,0.00,0.00,1.0000,4.37,0.99,0.00,-4.51,3.14,5.03
1749,904,0.29,8.00,46,5,7,4,41,0.00,0.00,1.0000,4.34,0.99,0.00,-4.52,3.14,5.08
1826,905,0.29,10.00,46,5,7,4,41,0.00,0.00,1.0000,4.29,0.99,0.00,-4.54,3.14,5.17
