Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,4.24,0.41,1518,0.00,0.99,0.00,1.0000,18.00,45,0,0,0,0,10.47,0.00,-5.30,7.45
355,4.17,0.41,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
355,4.23,0.40,1486,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
355,4.19,0.40,1488,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.00,0.00,-5.26,7.45
355,4.19,0.38,1488,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,9.59,0.00,-5.24,7.45
355,4.21,0.40,1484,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
355,4.22,0.40,1489,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.10,0.00,-5.28,7.45
355,4.21,0.41,1488,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
355,4.21,0.39,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
355,4.22,0.39,1495,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.69,0.00,-5.26,7.45
355,4.22,0.40,1492,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,9.89,0.00,-5.26,7.45
355,4.23,0.40,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
355,4.20,0.40,1500,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
355,4.22,0.40,1495,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.05,0.00,-5.28,7.45
355,4.24,0.39,1517,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,10.00,0.00,-5.30,7.45
355,4.25,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.05,0.00,-5.32,7.45
355,4.25,0.40,1506,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
355,4.26,0.40,1502,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.28,7.45
355,4.21,0.40,1490,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
355,4.18,0.39,1494,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,9.64,0.00,-5.26,7.45
355,4.20,0.31,1485,0.00,0.98,0.00,1.0000,21.50,45,0,0,0,0,10.25,0.00,-5.26,7.45
355,4.20,0.41,1490,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
824,4.21,0.40,1505,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
824,4.20,0.40,1508,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
837,4.22,0.40,1506,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
837,4.21,0.39,1502,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.74,0.00,-5.26,7.45
837,4.23,0.40,1498,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.94,0.00,-5.28,7.45
837,4.21,0.36,1502,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.03,0.00,-5.26,7.45
1370,4.21,0.40,1499,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
1370,4.18,0.39,1497,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.59,0.00,-5.26,7.45
1370,4.17,0.41,1495,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
1370,4.18,0.40,1494,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,9.89,0.00,-5.24,7.45
1370,4.19,0.42,1489,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,10.36,0.00,-5.26,7.45
1370,4.22,0.40,1488,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,9.84,0.00,-5.26,7.45
1370,4.24,0.40,1495,0.00,0.99,0.00,1.0000,21.50,45,0,0,0,0,9.94,0.00,-5.28,7.45
1387,4.20,0.40,1512,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.28,7.45
1387,4.22,0.39,1506,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.74,0.00,-5.28,7.45
2384,4.21,0.41,1503,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
2511,4.17,0.39,1496,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.79,0.00,-5.26,7.45
2511,4.18,0.40,1490,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
2525,4.24,0.40,1494,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
2525,4.23,0.41,1498,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
2525,4.22,0.39,1500,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.74,0.00,-5.26,7.45
2525,4.23,0.39,1502,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
2525,4.22,0.39,1505,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.64,0.00,-5.26,7.45
2525,4.18,0.39,1502,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.84,0.00,-5.26,7.45
2525,4.22,0.40,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.84,0.00,-5.26,7.45
2540,4.22,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
2540,4.20,0.40,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.26,7.45
2540,4.21,0.40,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.28,7.45
3733,4.21,0.41,1494,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
3733,4.19,0.40,1490,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.26,7.45
3733,4.23,0.41,1492,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
3733,4.22,0.39,1491,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
3878,4.22,0.40,1499,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.28,7.45
3878,4.20,0.40,1498,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
3878,4.21,0.40,1503,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
3878,4.19,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
3878,4.22,0.39,1508,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,9.74,0.00,-5.30,7.45
3878,4.21,0.39,1501,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.84,0.00,-5.28,7.45
3878,4.22,0.41,1495,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.15,0.00,-5.28,7.45
3878,4.22,0.40,1497,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
3878,4.22,0.39,1495,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
3878,4.21,0.39,1496,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.69,0.00,-5.26,7.45
3878,4.22,0.41,1498,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.28,7.45
3878,4.21,0.41,1498,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
4785,4.23,0.42,1489,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.36,0.00,-5.28,7.45
5148,4.24,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
5148,4.22,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.94,0.00,-5.26,7.45
5148,4.23,0.40,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
5148,4.22,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
5148,4.22,0.39,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
5148,4.21,0.39,1499,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
5148,4.20,0.40,1492,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.10,0.00,-5.26,7.45
