Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Feedback Knock Correction (1-byte)** (degrees)
0,0.00,12.28,2670,-210246801588149050000000000000.00,0.24,-30.75,14.1250,-63.50,-11,53,128,1,9,0.01,50.20,870.60,0.00,0.00
113,0.00,12.76,2638,-209371539294748050000000000000.00,0.24,-30.75,7.3750,-63.50,-11,53,179,1,8,0.01,50.20,494.40,0.00,17.93
113,0.00,6.98,2624,-209516629282567740000000000000.00,0.24,-30.25,12.0000,-63.50,-11,53,138,1,8,0.01,50.20,494.40,0.00,3.52
113,0.00,12.72,2665,-209618160161949440000000000000.00,0.24,-30.75,13.4375,-63.50,-11,53,155,1,9,0.01,50.20,870.62,0.00,9.49
113,0.00,12.62,2616,-837640899683902900000000000000.00,0.24,-30.75,10.6250,-63.50,-11,53,115,1,9,0.01,50.20,865.65,0.00,-4.57
113,0.00,12.74,2660,-209710038524240150000000000000.00,0.24,-30.75,14.6875,-63.50,-11,53,102,1,9,0.01,50.20,865.67,0.00,-9.14
113,0.00,12.82,2637,-209608488755392520000000000000.00,0.24,-30.75,12.3750,-63.50,-11,53,184,1,8,0.01,50.20,494.40,0.00,19.69
113,0.00,12.77,2638,-209647174381620200000000000000.00,0.24,-30.75,7.0625,-63.50,-11,53,187,1,8,0.01,50.20,494.40,0.00,20.74
408,0.00,5.28,2662,-209802086891724250000000000000.00,0.24,-28.00,10.8750,-63.50,-11,53,29,1,11,0.01,50.20,707.34,0.00,-34.80
533,0.00,0.58,2683,13153444663652587000000000000.00,0.24,-25.75,0.8750,-63.50,-11,53,46,1,11,368.66,50.20,840.57,0.00,-28.83
822,0.00,0.51,2689,-0.00,0.24,-26.25,2.5000,-63.50,-11,53,135,1,10,412.19,50.20,493.71,0.00,2.46
940,0.00,0.61,2703,-43562.09,0.24,-26.25,6.2500,-63.50,-11,53,220,1,8,412.21,50.20,746.13,0.00,32.34
1080,0.00,0.54,2710,-226535226701256100000000000000000000000.00,0.24,-25.75,13.1250,-63.50,-11,53,77,1,9,404.53,50.20,13.61,0.00,-17.93
1219,0.00,2.36,2995,0.04,0.24,-22.25,5.5000,-63.50,-11,52,202,1,9,348.22,50.20,1142.05,0.00,26.02
1228,0.00,0.05,2949,0.00,0.24,-22.50,4.5000,-63.50,-11,52,35,1,9,350.78,50.20,1003.48,0.00,-32.70
1228,0.00,0.11,2919,0.00,0.24,-23.25,7.8750,-63.50,-11,52,233,1,9,355.90,50.20,602.55,0.00,36.91
1228,0.00,0.23,2886,0.00,0.24,-23.75,7.8750,-63.50,-11,53,189,1,9,361.02,50.20,493.69,0.00,21.45
1228,0.00,0.29,2849,0.00,0.24,-24.00,14.6250,-63.50,-11,53,155,1,9,371.26,50.20,468.94,0.00,9.49
1228,0.00,0.34,2818,0.00,0.24,-24.25,3.0000,-63.50,-11,53,36,1,9,373.82,50.20,454.10,0.00,-32.34
1228,0.00,0.39,2806,0.00,0.24,-24.75,10.2500,-63.50,-11,53,57,1,9,378.94,50.20,454.12,0.00,-24.96
